id,name,type,tags.surface_concrete,tags.surface_dirt,tags.surface_paved,tags.surface_unpaved,tags.bridge_yes,tags.oneway_no,tags.oneway_yes,tags.lanes,tags.layer,max_velocity,tags.minspeed,level
152,Ngô Gia Tự,tertiary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,4
153,Trần Văn Quang,unclassified,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,60.0,,4
154,Đường số 8,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
155,Đường số 17,unclassified,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,60.0,,4
156,Phan Đăng Lưu,primary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,2
157,Nguyễn Văn Cừ,primary,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0,50.0,,2
158,Bàu Cát,tertiary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,4
159,Cây Bàng,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
160,Ni Sư Huỳnh Liên,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
161,Hiệp Bình,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
162,Hiền Vương,tertiary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,4
163,Nguyễn Biểu,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
164,Lý Thường Kiệt,primary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,2
165,,unclassified,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,60.0,,4
166,Lê Hồng Phong,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
167,Nguyễn Tuyển,unclassified,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,60.0,,4
168,Lê Thị Hà,unclassified,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,60.0,,4
169,Tân Xuân 2,unclassified,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,60.0,,4
170,Ngô Nhân Tịnh,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
171,Bùi Hữu Nghĩa,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
172,Phan Đăng Lưu,primary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,2
173,Cầu Chữ Y,tertiary,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,5,60.0,,4
174,Nguyễn Thái Sơn,primary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,2
175,Bạch Đằng,secondary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,3
176,Phạm Thế Hiển,tertiary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,4
177,Quang Trung,primary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,2
178,Đào Duy Anh,tertiary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,4
179,Tô Hiến Thành,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
180,Xô Viết Nghệ Tĩnh,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
181,Trần Quý,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
182,Nguyễn Văn Đậu,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
183,Nguyễn Thị Nhỏ,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
184,Trần Văn Mười,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
185,Hùng Vương,primary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,2
186,Tân Sơn Nhì,unclassified,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,60.0,,4
187,Cách Mạng Tháng Tám,primary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,2
188,Bùi Hữu Nghĩa,tertiary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,4
189,,unclassified,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,60.0,,4
190,Tỉnh lộ 43,secondary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,3
191,Huỳnh Thiện Lộc,unclassified,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,60.0,,4
192,Lương Định Của,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
193,Bành Văn Trân,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
194,Tô Ngọc Vân,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
195,Thống Nhất,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
196,Cầu vượt An Sương,trunk,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,1,60.0,,1
197,Xa Lộ Hà Nội,trunk,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,60.0,,1
198,Lê Văn Chí,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
199,Nguyễn Xiển,secondary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,3
200,Cầu Rạch Chiếc 2,trunk,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,1,80.0,,1
201,Xa lộ Hà Nội,trunk,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,60.0,,1
202,,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
203,Quốc lộ 22,primary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,60.0,,2
204,Kha Vạn Cân,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
205,Cầu Ông Dầu,primary,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,1,50.0,,2
206,Cầu vượt Ngã Tư Ga,primary,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,1,50.0,,2
207,Cầu cụt,secondary,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2,1,60.0,,3
208,Lê Đức Thọ,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
209,Cầu Trường Đai,secondary,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,1,50.0,,3
210,Lê Đức Thọ,secondary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,3
211,Hà Huy Giáp,primary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,2
212,Cầu Băng Ky,tertiary,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2,1,60.0,,4
213,Quốc lộ 13,primary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,2
214,Cầu Thầy Tiêu,primary,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,1,80.0,,2
215,Lũy Bán Bích,secondary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,20.0,,3
216,Cầu Sơn,primary,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,1,50.0,,2
217,Xô Viết Nghệ Tĩnh,primary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,50.0,,2
218,Cầu Đen 2,tertiary,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,1,50.0,,4
219,Cầu Văn Thánh,trunk,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,1,50.0,,1
220,Cầu Kênh B,tertiary,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2,1,60.0,,4
221,Hà Huy Giáp,primary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,2
222,Cầu Bông,primary,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4,1,60.0,,2
223,Đinh Tiên Hoàng,primary,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,0,50.0,,2
224,Cầu vượt Quang Trung,primary,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,3,60.0,,2
225,Cầu Tham Lương,primary,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,1,80.0,,2
226,Phan Huy ích,tertiary,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,60.0,,4
227,Cầu Chợ Cầu 1,primary,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,1,50.0,,2
