id,s_node_id,e_node_id
1332,210,9472
1333,9472,210
1334,9472,9471
1335,9471,9472
1336,9471,1005
1337,1005,9471
1338,1005,5637
1339,5637,1005
1340,5637,7599
1341,7599,5637
1342,7599,5638
1343,5638,7599
1344,5638,1107
1345,1107,5638
1346,1107,4227
1347,4227,1107
1348,4227,2272
1349,2272,4227
1350,2272,2274
1351,2274,2272
1352,2274,6896
1353,6896,2274
1354,6896,2275
1355,2275,6896
1356,2275,2273
1357,2273,2275
1358,2273,4785
1359,4785,2273
1360,4785,2271
1361,2271,4785
1362,2271,2360
1363,2360,2271
1364,2360,7598
1365,7598,2360
1366,7598,7597
1367,7597,7598
1368,7597,4786
1369,4786,7597
1370,4786,2276
1371,2276,4786
1372,2276,5143
1373,5143,2276
1374,8172,563
1375,563,771
1376,2973,310
1377,2986,2966
1378,2966,2986
1379,2966,2998
1380,967,8837
1381,2470,10687
1382,10687,7812
1383,4331,2380
1384,2380,4333
1385,6647,6653
1386,6653,2579
1387,2579,1176
1388,1176,4742
1389,4742,5678
1390,5678,10679
1391,52,5507
1392,5579,459
1393,5579,10002
1394,10002,5579
1395,10002,616
1396,616,10002
1397,616,10001
1398,10001,616
1399,10001,5580
1400,5580,10001
1401,5580,1140
1402,1140,5580
1403,1140,9999
1404,9999,1140
1405,9999,10000
1406,10000,9999
1407,10000,330
1408,330,10000
1409,330,5508
1410,5508,330
1411,5508,448
1412,448,5508
1413,448,7657
1414,7657,448
1415,7657,288
1416,288,7657
1417,288,691
1418,691,288
1419,691,4059
1420,4059,691
1421,4059,10014
1422,10014,4059
1423,7712,7713
1424,7713,7712
1425,510,7713
1426,8814,752
1427,1084,7714
1428,8107,1084
1429,26,11161
1430,492,11159
1431,11159,492
